id,ratio
1,1.06989129350367
2,1.23161045246412
7,1.01029442636312
9,1.28084547724165
10,1.15278915661321
12,0.981912095765089
15,1.16378588288351
17,1.16836719391628
19,1.14649425384543
20,1.2427308593636
23,1.15082328972733
26,1.18026486975009
27,1.27015959831518
28,1.14933462787271
30,1.11750141734165
33,1.19825472454801
35,1.04636497464811
36,1.20455001616403
38,1.09959850414593
41,1.22521181068681
42,1.18102629565092
50,1.23115482924732
52,1.22926454884557
56,1.12948894480884
58,0.975398961363737
59,1.30136946314015
63,1.2698863072004
64,1.10967735993625
66,0.973344561110929
67,1.11113950269426
68,2.09968493582577
72,1.13436134824485
74,1.19329002776101
75,1.02286720347699
83,1.30203189584422
84,1.1964078195656
88,1.13987132004812
91,1.12661620932937
96,1.08449885789355
97,1.32234780409886
100,0.919474013366285
101,0.842510567392916
105,0.936530860030971
106,0.990263527899402
113,1.24389783366155
114,0.852387831508758
115,1.25524349111341
118,1.06842285297924
120,1.14580797909947
121,1.18767601228363
122,1.07578080885226
123,1.17368852911424
126,0.863313367115487
128,1.13632754926098
131,1.22153982090319
132,1.06964868950633
133,1.03143874147221
136,1.17165296915608
139,1.21085899835629
143,1.27209610622651
146,1.14361922030369
147,1.11879230940537
148,1.22645459015316
149,1.18454385434816
155,1.21190566106997
156,1.32359733152473
159,1.19404478013383
162,1.17225824051112
163,1.15692542413644
169,1.08607022549363
171,1.24354460987143
173,0.995632462699053
177,1.38630680971445
178,1.19799977467335
180,1.19277115054289
181,1.16071907323115
186,1.2428841017747
187,1.18247622812716
188,0.846183240408546
189,1.26204033062935
194,1.20710756731282
196,1.08955220855829
197,1.22927477469419
201,1.27681715811826
202,1.10765518570476
203,1.08169086028609
204,1.04535787585779
206,1.11674154221123
207,4.50653965220625
209,0.99055850264511
210,1.30470064148086
211,1.2443110360608
214,1.20214892366352
215,1.18958055031169
217,1.10021765130261
218,1.24635141995181
222,1.22129646545624
223,1.03970691328452
225,1.07559198094287
226,1.11861416310301
230,1.02618374114713
231,1.24885919349974
233,1.27651485247864
234,1.33298955102923
238,1.1447844936409
243,1.35813900692366
246,1.14019427232104
249,1.28184699151476
250,1.10721489411141
251,1.34160014983049
252,1.3128235578469
255,1.14158560408662
257,1.26327403953913
258,1.16219216656221
260,0.940468104975301
262,1.20212021799505
263,1.170266888301
266,1.15304470913491
268,0.966529430824657
269,1.50367050297765
271,1.08159150905189
